ACCTCY-2010:  Introduction to Accounting
IS_LT-9473:  Project Management
IS_LT-9474:  Front End Analysis of Systems
IS_LT-9475:  Diffusion of Educational Innovations
IS_LT-9480:  Internship in Information Science and Learning Technologies
IS_LT-9481:  School Library Internship
IS_LT-9483:  Capstone: Online Education Emphasis Area
IS_LT-9484:  Teaching Online Courses
IS_LT-9485:  Designing Online Learning
IS_LT-9486:  Advanced Designing Games for Learning
IS_LT-9489:  Cultural Heritage
IS_LT-9490:  Archival Practice
IS_LT-9491:  Appraisal and Archival Systems
IS_LT-9492:  Data and Records Management
IS_LT-9499:  Library and Information Science ePortfolio
IS_LT-9910:  Design and Analysis of Research in Information Science and Learning Technologies
INFOTC-1000:  Introduction to Information Technology
INFOTC-1001:  Topics in Information Technology
INFOTC-1040:  Introduction to Problem Solving and Programming
INFOTC-1600:  Digital Systems
INFOTC-1610:  Introduction to Digital Media Design
INFOTC-1610H:  Introduction to Digital Media Design - Honors
INFOTC-2001:  Topics in Information Technology
INFOTC-2040:  Programming Languages and Paradigms
INFOTC-2610:  Digital Media Design I
INFOTC-2615:  Color Processing and Design
INFOTC-2620:  Computer Modeling and Animation I
INFOTC-2630:  Introduction to Game Theory and Design
INFOTC-2810:  Fundamentals of Network Technology
INFOTC-2830:  Web Application Development I
INFOTC-2910:  Cyber Security
INFOTC-3001:  Topics in Information Technology
INFOTC-3040:  Python for Data Analytics and Machine Learning
INFOTC-3330:  Object Oriented Programming
INFOTC-3380:  Database Systems and Applications
INFOTC-3530:  UNIX Operating System
INFOTC-3600:  User Experience Design I
INFOTC-3610:  Digital Media Design II
INFOTC-3620:  Computer Modeling and Animation II
INFOTC-3630:  Introduction to Virtual Reality
INFOTC-3640:  Motion Graphics and Visual Effects I
INFOTC-3650:  Project and Team Management
INFOTC-3650W:  Project and Team Management - Writing Intensive
INFOTC-3660:  Audio Engineering
INFOTC-3810:  Computer Network Security
INFOTC-3850:  Computer System Administration
INFOTC-3910:  Advanced Cyber Security
INFOTC-3940:  Internship in Information Technology
INFOTC-4001:  Topics in Information Technology
INFOTC-4001W:  Topics in Information Technology - Writing Intensive
INFOTC-4085:  Independent Projects
INFOTC-4200:  Digital Production Systems
INFOTC-4320:  Software Engineering
INFOTC-4390:  Database Administration
INFOTC-4400:  C#/.NET Development
INFOTC-4401:  Python 1: Learn to Program in Python
INFOTC-4405:  iOS App Development I
INFOTC-4410:  Android App Development I
INFOTC-4420:  Android App Development II
INFOTC-4425:  iOS App Development II
INFOTC-4440:  Android App Development III
INFOTC-4445:  iOS App Development III
INFOTC-4500:  Team-Based Mobile Device Application Development
INFOTC-4600:  User Experience Design II
INFOTC-4610:  Advanced Multimedia Design and Technology
INFOTC-4610W:  Advanced Multimedia Design and Technology - Writing Intensive
INFOTC-4630:  Game Development
INFOTC-4640:  Motion Graphics and Visual Effects II
INFOTC-4650:  Shader Programing
INFOTC-4830:  Web Application Development II
INFOTC-4910:  Digital Forensics
INFOTC-4970W:  Senior Capstone Design - Writing Intensive
INFOTC-4990:  Undergraduate Research in Information Technology
INFOTC-4995:  Undergraduate Research in Information Technology - Honors
INFOTC-7001:  Graduate Topics in Information Technology
INFOTC-7100:  Pedagogical Practices of Teaching Engineering Online
INFOTC-7410:  Android App Development I
INFOTC-7420:  Android App Development II
INFOTC-7910:  Digital Forensics
NEUROSCI-7990:  Non-Thesis Research in Neuroscience
NEUROSCI-8020:  Advances in Neuroscience and Neuropathology
NEUROSCI-8187:  Neuroscience Journal Club
NEUROSCI-8440:  Integrative Neuroscience 1
NEUROSCI-8442:  Integrative Neuroscience II
NEUROSCI-9090:  Thesis Research in Neuroscience
INTDSC-1000:  Introduction to Health Humanities
INTDSC-1001:  Proseminar in Interdisciplinary Studies
INTDSC-1001H:  Honors Freshman Interest Group
INTDSC-1020:  University Freshmen Seminar
INTDSC-1940:  Internship
INTDSC-2001:  Proseminar in Interdisciplinary Studies
INTDSC-2942:  Internship and Career Exploration in Arts and Science
INTDSC-2950:  Introduction to Research, Scholarship and Discovery
INTDSC-4940:  Internship in Interdisciplinary Studies
INTDSC-4942:  Arts and Science Internship
INTDSC-4960:  Readings in Interdisciplinary Studies
INTDSC-4970:  Service Learning Project.
INTDSC-4970W:  Service Learning Project. - Writing Intensive
INTDSC-4971:  Capstone Internship in Interdisciplinary Studies
INTDSC-4972:  Writing Intensive Certificate Capstone Course
IN_MED-6002:  Medicine Clerkship
IN_MED-6012:  Rural Medicine Clerkship
IN_MED-6022:  Springfield Medicine Clerkship
IN_MED-6035:  SCC Medical Intensive Care
IN_MED-6052:  Springfield Medical Consultation
IN_MED-6056:  Springfield Infectious Diseases
IN_MED-6062:  LINC Internal Medicine Clerkship
IN_MED-6102:  Remediation Medicine Clerkship
IN_MED-6122:  Remediation of Springfield Internal Medicine Clerkship
IN_MED-6162:  LINC Remediation Internal Medicine Clerkship
IN_MED-6263:  ABS Internal Medicine Research
IN_MED-6265:  ABS IN MED RSCH/REVIEW
IN_MED-6500:  Cardiology Consultation Service
IN_MED-6507:  Endocrinology/Metabolism
IN_MED-6508:  General Internal Medicine Outpatient
IN_MED-6513:  Infectious Diseases
IN_MED-6515:  Problems in Medical Ethics
IN_MED-6518:  Springfield Cardiovascular Medicine Service
IN_MED-6800:  Coronary Care Unit
IN_MED-6801:  Diabetes Mellitus Externship
IN_MED-6802:  Gastroenterology
IN_MED-6803:  Subinternship in Internal Medicine
IN_MED-6805:  Hematology and Medical Oncology Chronic Care
IN_MED-6806:  Immunology/Rheumatology
IN_MED-6807:  Medical Intensive Care
IN_MED-6808:  Nephrology Advanced Elective
IN_MED-6809:  Pulmonary Medicine Diagnostic Services
IN_MED-6812:  Springfield General Internal Medicine Outpatient
IN_MED-6813:  Springfield Cardiology Consult Service 4-week
IN_MED-6902:  SCC Cardiac Electrophysiology Two Week
IN_MED-6904:  SCC Hematology/Oncology Two Week
IN_MED-6911:  Cardiology Procedure Service
IN_MED-6914:  Pulmonary Medicine Procedure Service
INTL_S-3001:  Topics in International Studies - General
INTL_S-4290:  Pre-Departure Seminar for the TaLK Program
INTL_S-4940:  Internship in International Studies
INTL_S-4960:  Readings in International Studies
INTL_S-4960W:  Readings in International Studies - Writing Intensive
ITAL-1100:  Elementary Italian I
ITAL-1200:  Elementary Italian II
ITAL-2001:  Undergraduate Topics in Italian-General
ITAL-2005:  Undergraduate Topics in Italian-Humanities/Fine Arts
ITAL-2160:  Intermediate Italian
ITAL-2310:  Italian Civilization
ITAL-2850:  Italian Cinema
ITAL-3005:  Topics in Italian-Humanities/Fine Arts
ITAL-3150:  Post-Intermediate Italian
ITAL-3160:  Italian Composition
ITAL-3310:  Contemporary Italian Fiction, Media and Culture
ITAL-3430:  Italian Women's Studies
ITAL-3450:  Transnational and Migrant Cinema
ITAL-4070:  Italian for Reading Knowledge
ITAL-7085:  Problems in Italian Studies
JAPNSE-1100:  Elementary Japanese I
JAPNSE-1200:  Elementary Japanese II
JAPNSE-2160:  Japanese Conversation and Composition
JAPNSE-2310:  Japanese Civilization I
JAPNSE-3085:  Problems in Japanese
JAPNSE-3160:  Intermediate Japanese Composition and Conversation
JAPNSE-3360:  Modern Japanese Literature (in Translation)
JAPNSE-3370:  Intermediate Readings in Japanese
JAPNSE-3380:  Intermediate Japanese II
JAPNSE-3850:  Traditional Japanese Theatre
JAPNSE-3880:  Japan and its Cinema
JAPNSE-4005:  Topics in Japanese - Humanities
JAPNSE-4005H:  Topics in Japanese - Humanities - Honors
JAPNSE-4160:  Advanced Japanese I
JAPNSE-4180:  Advanced Japanese II
JOURN-_0501:  Study Abroad: Exchange Graduate
JOURN-_0900:  News Practicum
JOURN-1000:  Journalism for Non-Majors
JOURN-1010:  Career Explorations in Journalism
JOURN-1010H:  Career Explorations in Journalism - Honors
JOURN-1050:  Public Relations and Image Management for Non-Majors
JOURN-1100:  Principles of Journalism in Democracy
JOURN-1200:  Fundamentals of Visual Journalism and Strategic Communication
JOURN-1300:  Fundamentals of Written Journalism and Strategic Communication
JOURN-1300W:  Fundamentals of Written Journalism and Strategic Communication - Writing Intensive
JOURN-1301:  Topics in Journalism and Strategic Communication
JOURN-1400:  Applied Projects for Journalism and Strategic Communication
JOURN-1400H:  Applied Projects for Journalism and Strategic Communication - Honors
JOURN-1940:  Pre-Sequence Internship
JOURN-2000:  Cross-Cultural Journalism
JOURN-2000H:  Cross-Cultural Journalism - Honors
JOURN-2200:  Audiences and Persuasion
JOURN-2301:  Topics in Journalism and Strategic Communication
JOURN-3000:  History of American Journalism
JOURN-3301:  Topics in Journalism and Strategic Communication
JOURN-3510H:  Think Global: Fundamentals of Globalization and Digital Technologies - Honors
JOURN-3510HW:  Think Global: Fundamentals of Globalization and Digital Technologies - Honors/Writing Intensive
JOURN-3510W:  Think Global: Fundamentals of Globalization and Digital Technologies - Writing Intensive
JOURN-4000:  Communications Law
JOURN-4050:  Communications Practice
JOURN-4050H:  Communications Practice - Honors
JOURN-4050HW:  Communications Practice - Honors/Writing Intensive
JOURN-4050W:  Communications Practice - Writing Intensive
JOURN-4058:  New York Program: Journalism Theory and Practice
JOURN-4122:  Fundamentals of Data Reporting
JOURN-4126:  Digital Audio and Visual Basics for Journalists
JOURN-4130:  Account Services
JOURN-4138:  Public Relations Techniques
JOURN-4140:  Interactive Techniques
JOURN-4146:  Strategic Communication Techniques
JOURN-4148:  Interviewing Essentials
JOURN-4150:  Using Infographics
JOURN-4152:  Concepts in Participatory Journalism
JOURN-4160:  Social Media Foundations and Practice
JOURN-4180:  Newsroom Content Creation
JOURN-4180W:  Newsroom Content Creation - Writing Intensive
JOURN-4198:  Area Seminar
JOURN-4200:  Principles of Strategic Communication
JOURN-4204:  Introduction to Strategic Writing and Design
JOURN-4206:  Strategic Writing I
JOURN-4208:  Strategic Writing II
JOURN-4212:  Sports and Entertainment Promotion
JOURN-4213:  Strategic Communication Mobile Sports Production
JOURN-4214:  Strategic Communication Integrated Sports Production
JOURN-4216:  Media Sales
JOURN-4218:  MOJO Ad Staff
JOURN-4218H:  MOJO Ad Staff - Honors
JOURN-4220:  Creative Portfolio
JOURN-4224:  Effective Job Search Strategies
JOURN-4226:  Strategic Design and Visuals I
JOURN-4226H:  Strategic Design and Visuals I - Honors
JOURN-4228:  Strategic Design and Visuals II
JOURN-4236:  Psychology in Advertising
JOURN-4242:  Strategic Communication Leadership
JOURN-4242W:  Strategic Communication Leadership - Writing Intensive
JOURN-4244:  Creating Cultures Through Effective Strategic Communication and Leadership
JOURN-4244W:  Creating Cultures Through Effective Strategic Communication and Leadership - Writing Intensive
JOURN-4246:  Taking People With You: Entrepreneurial Leadership and Innovation
JOURN-4246W:  Taking People With You: Entrepreneurial Leadership and Innovation - Writing Intensive
JOURN-4248:  Media Strategy and Planning
JOURN-4250:  Management of Strategic Communication
JOURN-4252:  Branded Strategic Storytelling
JOURN-4254:  Tools, Techniques and Technology of Visual Storytelling
JOURN-4256:  Public Relations
JOURN-4256H:  Public Relations - Honors
JOURN-4262:  Digital Strategy I
JOURN-4263:  Digital Strategy II
JOURN-4268:  Strategic Communication Practicum
JOURN-4270:  Public Relations Writing
JOURN-4274:  Event Planning and Promotion
JOURN-4300:  TV News Reporting I
JOURN-4301:  Topics in Journalism
JOURN-4301W:  Topics in Journalism - Writing Intensive
JOURN-4304:  TV News Producing I
JOURN-4306:  Television News Reporting II
JOURN-4308:  Broadcast News III
JOURN-4308W:  Broadcast News III - Writing Intensive
JOURN-4310:  News Producing
JOURN-4320:  Advanced Broadcast Reporting
JOURN-4328:  Advanced News Communication
JOURN-4330:  From Murrow to Moore: What Good Journalists Read
JOURN-4340:  Viewing Journalism Films: Images of the Reporter
JOURN-4350:  Problems in Journalism
JOURN-4350W:  Problems in Journalism - Writing Intensive
JOURN-4360:  Fundamentals of Design
JOURN-4370:  Film Studies: The Intersections of Documentary Film and Journalism
JOURN-4370W:  Film Studies: The Intersections of Documentary Film and Journalism - Writing Intensive
JOURN-4371:  Documentary Theory
JOURN-4372:  Documentary Reporting
JOURN-4373:  Documentary Development
JOURN-4375:  Documentary Business and the Public Sphere
JOURN-4377:  Documentary Production
JOURN-4379W:  Documentary Senior Capstone - Writing Intensive
JOURN-4400:  Introduction to News Editing
JOURN-4406:  Digital News Editing
JOURN-4408:  Magazine Editing
JOURN-4410:  Intermediate Writing
JOURN-4410W:  Intermediate Writing - Writing Intensive
JOURN-4414:  Field Reporting on the Food System and Environment
JOURN-4415:  Current Issues in Science Journalism
JOURN-4416:  Science Writing for Journalism and Strategic Communication
JOURN-4416W:  Science Writing for Journalism and Strategic Communication - Writing Intensive
JOURN-4418:  Critical Reviewing
JOURN-4418W:  Critical Reviewing - Writing Intensive
JOURN-4420:  Editorial Writing
JOURN-4422:  Sports Journalism
JOURN-4424:  Covering Traumatic Events
JOURN-4426:  Religion Reporting and Writing
JOURN-4428:  Health Reporting Skills
JOURN-4430:  Computer-Assisted Reporting
JOURN-4432:  Advanced Data Journalism
JOURN-4434:  The Art and Mechanics of the Business Story
JOURN-4436:  Investigative Reporting
JOURN-4438:  Business, Financial and Economic Journalism
JOURN-4438H:  Business, Financial and Economic Journalism - Honors
JOURN-4439:  Advanced Business Journalism
JOURN-4442:  Drone Journalism
JOURN-4444:  Team-Based Mobile Device Application Development
JOURN-4448:  Public Service Journalism: Covering State Government
JOURN-4450:  Reporting and Writing I
JOURN-4450W:  Reporting and Writing I - Writing Intensive
JOURN-4460:  Advanced News Reporting
JOURN-4460W:  Advanced News Reporting - Writing Intensive
JOURN-4462:  Emerging Technologies in Journalism
